ID,logFC,P.Value
g762,-1.2613460352,0.0160907823
g763,1.1062918154,0.0145297907
g764,0.5025817168,0.0146248542
g765,0.5596487246,0.0151662196
g766,1.4263300548,0.0161599719
g767,0.5501475505,0.0149075737
g768,0.5465658544,0.0146510598
g769,-0.663626605,0.0144762837
g770,0.5055650998,0.0138801358
g771,0.7362906842,0.0139406741
g772,1.3752138018,0.0153257908
g773,1.0559176134,0.0162244191
g774,-0.7601360861,0.0159353661
g775,-0.8227201854,0.0155559343
g776,0.7318396647,0.0141782874
g777,1.4661748922,0.0161666724
g778,0.3985324091,0.0140549158
g779,1.0512412372,0.0163005167
g780,-1.1642975888,0.0158508346
g781,1.6752031715,0.0156954726
g782,-0.5012981785,0.0149735142
g783,1.2001910391,0.0142459233
g784,0.6118602818,0.0144129877
g785,0.5092977287,0.0141563663
g786,0.8118951273,0.0164104037
g787,0.5045690752,0.0149596618
g788,-0.7654444173,0.016773363
g789,0.4462263253,0.0142137238
g790,-0.9141328674,0.0164520547
g791,-0.6416496487,0.0161320598
g792,0.4716934801,0.0146008307
g793,-0.9732466105,0.0156893487
g794,0.576813126,0.0149776623
g795,-0.9035082022,0.0169518915
g796,0.73107947,0.0153330799
g797,0.7190756132,0.0169547019
g798,0.682706695,0.0144963001
g799,-0.7734195662,0.0150484271
g800,1.033439636,0.017170737
g801,1.2688974777,0.0171121938
g802,0.8974167351,0.0173229229
g803,-0.9872655913,0.0173632886
g804,-1.9096367314,0.0170143067
g805,0.6584438909,0.0147721307
g806,-0.603541431,0.0151065343
g807,-0.9025059537,0.0152423027
